seq_name	length
MSTRG.1.1	314
MSTRG.1.2	214
MSTRG.10.1	869
MSTRG.100.1	221
MSTRG.1000.1	440
MSTRG.10000.1	133
MSTRG.10000.2	133
MSTRG.10001.1	256
MSTRG.10003.1	899
MSTRG.10004.1	106
MSTRG.10005.1	567
MSTRG.10007.1	250
MSTRG.10008.1	274
MSTRG.10008.2	297
MSTRG.10008.3	268
MSTRG.10008.4	269
MSTRG.10009.1	570
MSTRG.1001.1	536
MSTRG.10010.1	348
MSTRG.10011.1	286
MSTRG.10012.1	963
MSTRG.10013.1	105
MSTRG.10015.1	909
MSTRG.10017.1	1374
MSTRG.10017.2	1374
MSTRG.10017.3	1374
MSTRG.10017.4	1512
MSTRG.10017.5	1434
MSTRG.10017.6	1434
MSTRG.10017.7	1374
MSTRG.10018.1	161
MSTRG.10019.1	240
MSTRG.10020.1	229
MSTRG.10021.1	1143
MSTRG.10021.2	932
MSTRG.10021.3	1143
MSTRG.10022.1	103
MSTRG.10023.1	502
MSTRG.10023.2	292
MSTRG.10024.1	160
MSTRG.10025.1	445
MSTRG.10025.2	352
MSTRG.10025.3	333
MSTRG.10026.1	132
MSTRG.10027.1	114
MSTRG.10027.2	114
MSTRG.10028.1	203
MSTRG.10028.2	203
MSTRG.10029.1	574
MSTRG.1003.1	481
MSTRG.1003.2	171
MSTRG.10030.1	316
MSTRG.10031.1	484
MSTRG.10032.1	333
MSTRG.10033.1	377
MSTRG.10034.1	497
MSTRG.10035.1	281
MSTRG.10036.1	859
MSTRG.10037.1	115
MSTRG.10037.2	115
MSTRG.1004.1	725
MSTRG.10040.1	404
MSTRG.10041.1	2039
MSTRG.10041.2	1461
MSTRG.10041.3	285
MSTRG.10042.1	287
MSTRG.10043.1	600
MSTRG.10046.1	313
MSTRG.10046.2	270
MSTRG.10047.1	493
MSTRG.10048.1	999
MSTRG.10049.1	570
MSTRG.1005.1	560
MSTRG.10050.1	562
MSTRG.10051.1	917
MSTRG.10052.1	356
MSTRG.10053.1	448
